"","Date","Mean Strain"
"138","2008-11-20 17",2.77391529256608
"139","2008-11-20 18",2.16670441900967
"140","2008-11-20 19",1.99309712969883
"141","2008-11-20 20",1.57780083006281
"142","2008-11-20 21",1.24704426277047
"143","2008-11-20 22",0.932474377627837
"144","2008-11-20 23",0.719765901836552
"145","2008-11-21 00",0.414111024352823
"146","2008-11-21 01",0.183283941680386
"147","2008-11-21 02",0.246363007524245
"148","2008-11-21 03",0.220634836080637
"149","2008-11-21 04",0.293570226936139
"150","2008-11-21 05",0.316799580724234
"151","2008-11-21 06",1.07400686824861
"152","2008-11-21 07",1.38165659400613
"153","2008-11-21 08",1.08937030458537
"154","2008-11-21 09",1.25966747250112
"155","2008-11-21 10",2.76570090571253
"156","2008-11-21 11",4.83489903242083
"157","2008-11-21 12",7.39471218172696
"158","2008-11-21 13",9.79365127186492
"159","2008-11-21 14",10.1689792789087
"160","2008-11-21 15",10.5181069274447
"161","2008-11-21 16",9.00734722138042
"162","2008-11-21 17",7.59869407037853
"163","2008-11-21 18",6.7676059567798
"164","2008-11-21 19",5.94456400069712
"165","2008-11-21 20",5.05660142738971
"166","2008-11-21 21",4.47177898815067
"167","2008-11-21 22",4.23532333882569
"168","2008-11-21 23",3.82765213495976
"169","2008-11-22 00",3.75280096995159
"170","2008-11-22 01",3.6325722252573
"171","2008-11-22 02",3.62116784014145
"172","2008-11-22 03",3.51411364322604
"173","2008-11-22 04",3.66584886251046
"174","2008-11-22 05",3.6240139141662
"175","2008-11-22 06",3.71880680486038
"176","2008-11-22 07",3.92666183253842
"177","2008-11-22 08",3.97226138302202
"178","2008-11-22 09",4.47152428637503
"179","2008-11-22 10",5.32563114304433
"180","2008-11-22 11",8.7285240488254
"181","2008-11-22 12",10.9200121618337
"182","2008-11-22 13",12.9837052923468
"183","2008-11-22 14",13.9682112401638
"184","2008-11-22 15",13.4846285119071
"185","2008-11-22 16",12.6571875970948
"186","2008-11-22 17",11.8051491505688
"187","2008-11-22 18",10.8671389012033
"188","2008-11-22 19",10.1699821661511
"189","2008-11-22 20",9.44705625131153
"190","2008-11-22 21",9.18511354336002
"191","2008-11-22 22",9.06089478715151
"192","2008-11-22 23",8.90432499080447
"193","2008-11-23 00",8.29138059759392
"194","2008-11-23 01",8.0324534833273
"195","2008-11-23 02",7.83158394499122
"196","2008-11-23 03",7.58528881320981
"197","2008-11-23 04",7.27355466078546
"198","2008-11-23 05",7.15483770992217
"199","2008-11-23 06",6.96399361834806
"200","2008-11-23 07",6.78388523848556
"201","2008-11-23 08",6.52405172419854
"202","2008-11-23 09",6.83739306525131
"203","2008-11-23 10",7.1448548071554
"204","2008-11-23 11",7.1654594635963
"205","2008-11-23 12",7.43956400086404
"206","2008-11-23 13",7.68149743210738
"207","2008-11-23 14",8.03289560002229
"208","2008-11-23 15",7.63392846146769
"209","2008-11-23 16",7.29410240740121
"210","2008-11-23 17",7.16389479352949
"211","2008-11-23 18",6.95367584510149
"212","2008-11-23 19",7.23695198890283
"213","2008-11-23 20",7.7611420918447
"214","2008-11-23 21",7.87649303721177
"215","2008-11-23 22",7.9638843968551
"216","2008-11-23 23",8.05075187959269
"217","2008-11-24 00",8.05552477681709
"218","2008-11-24 01",8.20190923017511
"219","2008-11-24 02",8.45720670506668
"220","2008-11-24 03",8.79064887863658
"221","2008-11-24 04",8.92001237182525
"222","2008-11-24 05",9.25545798607973
"223","2008-11-24 06",9.73818040615427
"224","2008-11-24 07",10.03565834704
"225","2008-11-24 08",10.0174215810272
"226","2008-11-24 09",9.62097866554224
"227","2008-11-24 10",9.48587579931954
"228","2008-11-24 11",9.48414261303281
"229","2008-11-24 12",10.9939137912784
"230","2008-11-24 13",15.1929534377353
"231","2008-11-24 14",18.0439807769997
"232","2008-11-24 15",18.7830037174488
"233","2008-11-24 16",17.5925338873047
"234","2008-11-24 17",16.153031364921
"235","2008-11-24 18",15.0205368571747
"236","2008-11-24 19",13.9562315059276
"237","2008-11-24 20",13.0626484760458
"238","2008-11-24 21",12.5586417418248
"239","2008-11-24 22",12.0837645413712
"240","2008-11-24 23",11.4650557278762
"241","2008-11-25 00",11.1470212876227
"242","2008-11-25 01",10.6483253951656
"243","2008-11-25 02",10.5744642721526
"244","2008-11-25 03",9.87868230507672
"245","2008-11-25 04",9.59385735896935
"246","2008-11-25 05",9.38679424532143
"247","2008-11-25 06",9.45245456428691
"248","2008-11-25 07",9.64190871181757
"249","2008-11-25 08",9.69585543721385
"250","2008-11-25 09",9.45151843470493
"251","2008-11-25 10",9.58485454743122
"252","2008-11-25 11",9.04381635282977
"253","2008-11-25 12",11.1558258460123
"254","2008-11-25 13",14.8080127383157
"255","2008-11-25 14",16.6691726467551
"256","2008-11-25 15",17.0546696610779
"257","2008-11-25 16",15.8701171123295
"258","2008-11-25 17",15.145760490149
"259","2008-11-25 18",13.9768443830951
"260","2008-11-25 19",12.6536665464228
"261","2008-11-25 20",11.4878973237822
"262","2008-11-25 21",10.5741926142543
"263","2008-11-25 22",10.2067522166393
"264","2008-11-25 23",9.66100293452497
"265","2008-11-26 00",9.2305500753459
"266","2008-11-26 01",8.62756539789656
"267","2008-11-26 02",8.475060364898
"268","2008-11-26 03",8.41405632679119
"269","2008-11-26 04",8.25725406674663
"270","2008-11-26 05",8.21150912764057
"271","2008-11-26 06",8.66246185241886
"272","2008-11-26 07",9.08291458583326
"273","2008-11-26 08",8.84807254453875
"274","2008-11-26 09",8.33207026128862
"275","2008-11-26 10",7.83743376712864
"276","2008-11-26 11",7.05084196469407
"277","2008-11-26 12",7.32547304454908
"278","2008-11-26 13",7.83593526327816
"279","2008-11-26 14",7.70770204124746
"280","2008-11-26 15",7.97329563520223
"281","2008-11-26 16",7.95534606261141
"282","2008-11-26 17",7.93925608773982
"283","2008-11-26 18",7.86628627096738
"284","2008-11-26 19",7.6613906302507
"285","2008-11-26 20",7.40992988508919
"286","2008-11-26 21",7.35435400825478
"287","2008-11-26 22",7.32225731516805
"288","2008-11-26 23",7.20054053792182
