"","Date","Median Strain"
"186","2008-11-22 17",11.771681
"187","2008-11-22 18",10.829105
"188","2008-11-22 19",10.143167
"189","2008-11-22 20",9.418201
"190","2008-11-22 21",9.150331
"191","2008-11-22 22",9.026744
"192","2008-11-22 23",8.903157
"193","2008-11-23 00",8.243831
"194","2008-11-23 01",7.993109
"195","2008-11-23 02",7.803885
"196","2008-11-23 03",7.573269
"197","2008-11-23 04",7.255729
"198","2008-11-23 05",7.129777
"199","2008-11-23 06",6.934049
"200","2008-11-23 07",6.743052
"201","2008-11-23 08",6.484053
"202","2008-11-23 09",6.823472
"203","2008-11-23 10",7.091932
"204","2008-11-23 11",7.117359
"205","2008-11-23 12",7.404742
"206","2008-11-23 13",7.636541
"207","2008-11-23 14",8.004935
"208","2008-11-23 15",7.603427
"209","2008-11-23 16",7.261051
"210","2008-11-23 17",7.133916
"211","2008-11-23 18",6.899753
"212","2008-11-23 19",7.195414
"213","2008-11-23 20",7.709865
"214","2008-11-23 21",7.8272425
"215","2008-11-23 22",7.901454
"216","2008-11-23 23",7.989562
"217","2008-11-24 00",8.017945
"218","2008-11-24 01",8.174054
"219","2008-11-24 02",8.44015
"220","2008-11-24 03",8.768335
"221","2008-11-24 04",8.861765
"222","2008-11-24 05",9.097703
"223","2008-11-24 06",9.4610725
"224","2008-11-24 07",9.735152
"225","2008-11-24 08",9.772406
"226","2008-11-24 09",9.260909
"227","2008-11-24 10",9.159792
"228","2008-11-24 11",9.151514
"229","2008-11-24 12",10.5908
"230","2008-11-24 13",15.028723
"231","2008-11-24 14",17.820402
"232","2008-11-24 15",18.511671
"233","2008-11-24 16",17.432487
"234","2008-11-24 17",15.963617
"235","2008-11-24 18",14.911047
"236","2008-11-24 19",13.864985
"237","2008-11-24 20",12.973851
"238","2008-11-24 21",12.465899
"239","2008-11-24 22",12.038961
"240","2008-11-24 23",11.459459
"241","2008-11-25 00",11.090471
"242","2008-11-25 01",10.570105
"243","2008-11-25 02",10.542903
"244","2008-11-25 03",9.754074
"245","2008-11-25 04",9.531144
"246","2008-11-25 05",9.240212
"247","2008-11-25 06",9.205324
"248","2008-11-25 07",9.435941
"249","2008-11-25 08",9.4111055
"250","2008-11-25 09",9.226021
"251","2008-11-25 10",9.201777
"252","2008-11-25 11",8.771883
"253","2008-11-25 12",11.206372
"254","2008-11-25 13",14.5710325
"255","2008-11-25 14",16.488129
"256","2008-11-25 15",16.8101085
"257","2008-11-25 16",15.62715
"258","2008-11-25 17",14.955397
"259","2008-11-25 18",13.841331
"260","2008-11-25 19",12.544546
"261","2008-11-25 20",11.423388
"262","2008-11-25 21",10.508606
"263","2008-11-25 22",10.157358
"264","2008-11-25 23",9.605061
"265","2008-11-26 00",9.174576
"266","2008-11-26 01",8.559006
"267","2008-11-26 02",8.451385
"268","2008-11-26 03",8.39994
"269","2008-11-26 04",8.228456
"270","2008-11-26 05",8.061111
"271","2008-11-26 06",8.353226
"272","2008-11-26 07",8.503422
"273","2008-11-26 08",8.437194
"274","2008-11-26 09",8.107826
"275","2008-11-26 10",7.611114
"276","2008-11-26 11",6.726495
"277","2008-11-26 12",6.982538
"278","2008-11-26 13",7.311313
"279","2008-11-26 14",7.373402
"280","2008-11-26 15",7.6563505
"281","2008-11-26 16",7.709274
"282","2008-11-26 17",7.768998
"283","2008-11-26 18",7.734701
"284","2008-11-26 19",7.567356
"285","2008-11-26 20",7.32314
"286","2008-11-26 21",7.27406
"287","2008-11-26 22",7.26519
"288","2008-11-26 23",7.138055
